Tarifa,Medidas,Peso KG
Tarifa 1, 0.01m³ , 1-5
Tarifa 2, 0.0225m³ , 6-10
Tarifa 3, 0.048m³ , 11-20
Tarifa 4, 0.075m³ , 21-30
Tarifa 5, 0.144m³ , 31-40
Tarifa 6, 0.245m³ , 41-50
Tarifa 7, 0.319m³ , 51-60
